realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783106938716803,415,27689,-4159,12043,21906,0,0,0
1783106938717887,416,27954,-1605,9203,23243,0,0,0
1783106938718968,417,27998,-322,7725,23775,0,0,0
1783106938720050,418,27983,961,6217,24213,0,0,0
1783106938721135,419,27909,2243,4684,24556,0,0,0
1783106938722217,420,27777,3521,3133,24801,0,0,0
1783106938723300,421,27586,4790,1569,24949,0,0,0
1783106938724381,422,27338,6050,0,24999,0,0,0
1783106938725462,423,27032,7297,-1569,24949,0,0,0
1783106938726545,424,26668,8529,-3133,24801,0,0,0
1783106938727626,425,26249,9742,-4684,24556,0,0,0
1783106938728709,427,25246,12106,-7725,23775,0,0,0
1783106938729792,428,24665,13251,-9203,23243,0,0,0
1783106938730876,429,24031,14368,-10644,22619,0,0,0
1783106938731959,430,23347,15454,-12043,21906,0,0,0
1783106938733043,431,22614,16508,-13395,21107,0,0,0
1783106938734133,432,21833,17528,-14694,20224,0,0,0
1783106938735216,433,21007,18510,-15935,19261,0,0,0
1783106938736299,434,20136,19454,-17113,18223,0,0,0
1783106938737383,435,19223,20357,-18224,17112,0,0,0
1783106938738467,436,18269,21217,-19262,15934,0,0,0
1783106938739526,437,16249,22801,-21108,13394,0,0,0
1783106938740605,438,15187,23522,-21907,12042,0,0,0
1783106938741684,439,14092,24194,-22620,10643,0,0,0
1783106938742765,440,12968,24814,-23244,9202,0,0,0
1783106938743848,441,11817,25383,-23776,7724,0,0,0
1783106938744930,442,10640,25898,-24214,6216,0,0,0
1783106938746015,443,9442,26358,-24557,4683,0,0,0
1783106938747099,444,8223,26764,-24802,3132,0,0,0
1783106938748172,445,6988,27112,-24950,1568,0,0,0
1783106938749324,446,5737,27404,-25000,-1,0,0,0
1783106938750407,447,3203,27815,-24802,-3134,0,0,0
1783106938751486,448,1924,27932,-24557,-4685,0,0,0
1783106938752568,449,642,27991,-24214,-6218,0,0,0
1783106938753706,450,-642,27991,-23776,-7726,0,0,0
1783106938754798,451,-1924,27932,-23244,-9204,0,0,0
1783106938755883,452,-3203,27815,-22620,-10645,0,0,0
1783106938756993,453,-4475,27639,-21907,-12044,0,0,0
1783106938758075,454,-5737,27404,-21108,-13396,0,0,0
1783106938760294,456,-8223,26764,-19262,-15936,0,0,0
1783106938761405,457,-10640,25898,-17113,-18225,0,0,0
1783106938762484,458,-11817,25383,-15935,-19263,0,0,0
1783106938763565,459,-12968,24814,-14694,-20226,0,0,0
1783106938764646,460,-14092,24194,-13395,-21109,0,0,0
1783106938765750,461,-15187,23522,-12043,-21908,0,0,0
1783106938766864,462,-16249,22801,-10644,-22621,0,0,0
1783106938767951,463,-17277,22032,-9203,-23245,0,0,0
1783106938769033,464,-18269,21217,-7725,-23777,0,0,0
1783106938770187,465,-19223,20357,-6217,-24215,0,0,0
1783106938771329,466,-20136,19454,-4684,-24558,0,0,0
1783106938772411,467,-21007,18510,-3133,-24803,0,0,0
1783106938773492,469,-22614,16508,0,-25001,0,0,0
1783106938774568,470,-23347,15454,1569,-24951,0,0,0
1783106938775684,471,-24031,14368,3133,-24803,0,0,0
1783106938776798,472,-24665,13251,4684,-24558,0,0,0
1783106938777933,473,-25246,12106,6217,-24215,0,0,0
1783106938779021,474,-25775,10936,7725,-23777,0,0,0
1783106938781143,475,-26249,9742,9203,-23245,0,0,0
1783106938782224,476,-26668,8529,10644,-22621,0,0,0
1783106938783311,477,-27032,7297,12043,-21908,0,0,0
1783106938784392,478,-27586,4790,14694,-20226,0,0,0
1783106938785476,479,-27777,3521,15935,-19263,0,0,0
1783106938786559,480,-27909,2243,17113,-18225,0,0,0
1783106938787637,481,-27983,961,18224,-17114,0,0,0
1783106938788717,482,-27998,-322,19262,-15936,0,0,0
1783106938789790,483,-27954,-1605,20225,-14695,0,0,0
1783106938790835,484,-27851,-2885,21108,-13396,0,0,0
1783106938791917,485,-27689,-4159,21907,-12044,0,0,0
1783106938792999,486,-27469,-5424,22620,-10645,0,0,0
1783106938794081,487,-27192,-6677,23244,-9204,0,0,0
1783106938795141,488,-26466,-9140,24214,-6218,0,0,0
1783106938796223,489,-26019,-10344,24557,-4685,0,0,0
1783106938797305,490,-25517,-11526,24802,-3134,0,0,0
1783106938798386,491,-24962,-12684,24950,-1570,0,0,0
1783106938799468,492,-24355,-13815,25000,-1,0,0,0
1783106938800551,493,-23696,-14917,24950,1568,0,0,0
1783106938801634,494,-22987,-15988,24802,3132,0,0,0
1783106938802716,495,-22230,-17025,24557,4683,0,0,0
1783106938803799,496,-21426,-18026,24214,6216,0,0,0
1783106938804881,497,-19685,-19913,23244,9202,0,0,0
1783106938805962,498,-18751,-20794,22620,10643,0,0,0
1783106938807044,499,-17778,-21632,21907,12042,0,0,0
1783106938808132,500,-16768,-22424,21108,13394,0,0,0
1783106938809215,501,-15722,-23170,20225,14693,0,0,0
