realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783108429178752,0,1,172,27777,3521,-20326,14554,0,0,0
1783108429178771,1,1,176,13694,-17219,-15961,-12051,0,0,0
1783108429179851,0,1,173,27586,4790,-21157,13317,0,0,0
1783108429179867,1,1,177,12972,-17769,-16549,-11231,0,0,0
1783108429180963,0,1,174,27338,6050,-21913,12032,0,0,0
1783108429181045,1,1,178,12227,-18289,-17094,-10382,0,0,0
1783108429182133,0,1,175,27032,7297,-22591,10705,0,0,0
1783108429182151,1,1,179,11462,-18778,-17596,-9507,0,0,0
1783108429183234,0,1,176,26668,8529,-23189,9340,0,0,0
1783108429183250,1,1,180,10678,-19235,-18053,-8607,0,0,0
1783108429184358,0,1,178,25775,10936,-24135,6515,0,0,0
1783108429184376,1,1,182,9055,-20050,-18828,-6745,0,0,0
1783108429185482,1,1,183,8220,-20407,-19144,-5787,0,0,0
1783108429186568,0,1,180,24665,13251,-24739,3598,0,0,0
1783108429187686,1,1,184,7371,-20729,-19412,-4814,0,0,0
1783108429188845,0,1,182,23347,15454,-24992,629,0,0,0
1783108429188865,1,1,185,6509,-21015,-19630,-3829,0,0,0
1783108429189966,1,1,186,5637,-21266,-19798,-2834,0,0,0
1783108429191054,0,1,183,22614,16508,-24985,-860,0,0,0
1783108429191072,1,1,187,4754,-21481,-19915,-1832,0,0,0
1783108429192137,0,1,184,21833,17528,-24889,-2348,0,0,0
1783108429192154,1,1,188,3864,-21658,-19982,-826,0,0,0
1783108429193242,0,1,185,21007,18510,-24705,-3826,0,0,0
1783108429193260,1,1,189,2967,-21799,-19999,182,0,0,0
1783108429194345,0,1,186,20136,19454,-24433,-5292,0,0,0
1783108429194363,1,1,190,2065,-21903,-19964,1190,0,0,0
1783108429195446,0,1,187,19223,20357,-24074,-6738,0,0,0
1783108429195463,1,1,191,1159,-21970,-19878,2195,0,0,0
1783108429196546,0,1,188,18269,21217,-23630,-8161,0,0,0
1783108429196562,1,1,192,252,-21999,-19742,3195,0,0,0
1783108429197644,0,1,189,17277,22032,-23102,-9554,0,0,0
1783108429197662,1,1,194,-1562,-21945,-19320,5167,0,0,0
1783108429198743,0,1,191,15187,23522,-21801,-12235,0,0,0
1783108429198758,1,1,195,-2466,-21862,-19035,6135,0,0,0
1783108429199839,0,1,192,14092,24194,-21034,-13512,0,0,0
1783108429199855,1,1,196,-3366,-21741,-18701,7087,0,0,0
1783108429200938,0,1,193,12968,24814,-20191,-14741,0,0,0
1783108429200954,1,1,197,-4261,-21584,-18320,8021,0,0,0
1783108429202039,0,1,194,11817,25383,-19277,-15918,0,0,0
1783108429202060,1,1,198,-5148,-21390,-17892,8935,0,0,0
1783108429203144,0,1,195,10640,25898,-18294,-17039,0,0,0
1783108429203163,1,1,199,-6026,-21159,-17419,9826,0,0,0
1783108429204288,0,1,196,9442,26358,-17246,-18099,0,0,0
1783108429204310,1,1,200,-6894,-20892,-16901,10692,0,0,0
1783108429205422,0,1,197,8223,26764,-16137,-19094,0,0,0
1783108429205440,1,1,201,-7750,-20590,-16340,11530,0,0,0
1783108429206571,0,1,198,6988,27112,-14971,-20022,0,0,0
1783108429206628,1,1,202,-8593,-20253,-15738,12340,0,0,0
1783108429207712,0,1,199,5737,27404,-13751,-20878,0,0,0
1783108429208813,0,1,200,3203,27815,-11170,-22366,0,0,0
1783108429208887,1,1,204,-11029,-19036,-13697,14572,0,0,0
1783108429210071,0,1,201,1924,27932,-9818,-22992,0,0,0
1783108429210138,1,1,205,-11805,-18565,-12945,15244,0,0,0
1783108429211269,1,1,206,-12561,-18062,-12160,15877,0,0,0
1783108429212352,0,1,203,-642,27991,-7013,-23997,0,0,0
1783108429212373,1,1,207,-13295,-17528,-11343,16470,0,0,0
1783108429213474,1,1,208,-14007,-16965,-10498,17021,0,0,0
1783108429214582,0,1,205,-3203,27815,-4108,-24661,0,0,0
1783108429214670,1,1,209,-14695,-16372,-9627,17529,0,0,0
1783108429215756,0,1,206,-4475,27639,-2632,-24862,0,0,0
1783108429216936,1,1,211,-15995,-15105,-7812,18410,0,0,0
1783108429218065,0,1,208,-6988,27112,343,-24998,0,0,0
1783108429218145,1,1,212,-16605,-14432,-6873,18780,0,0,0
1783108429219320,0,1,209,-8223,26764,1832,-24933,0,0,0
1783108429219376,1,1,213,-17186,-13734,-5918,19103,0,0,0
1783108429220473,1,1,214,-17738,-13013,-4947,19377,0,0,0
1783108429221557,0,1,210,-9442,26358,3315,-24780,0,0,0
1783108429221576,1,1,215,-18260,-12270,-3963,19602,0,0,0
1783108429222684,0,1,212,-11817,25383,6239,-24209,0,0,0
1783108429222774,1,1,216,-18751,-11506,-2970,19777,0,0,0
1783108429223860,0,1,213,-12968,24814,7670,-23795,0,0,0
1783108429223877,1,1,217,-19210,-10723,-1968,19901,0,0,0
1783108429224958,0,1,214,-14092,24194,9075,-23295,0,0,0
1783108429224976,1,1,218,-19636,-9921,-962,19975,0,0,0
1783108429226059,0,1,215,-15187,23522,10446,-22713,0,0,0
1783108429226082,1,1,219,-20029,-9102,45,19998,0,0,0
1783108429227139,0,1,216,-16249,22801,11781,-22050,0,0,0
1783108429227156,1,1,220,-20387,-8268,1054,19971,0,0,0
1783108429228239,0,1,217,-17277,22032,13074,-21309,0,0,0
1783108429228255,1,1,221,-20711,-7419,2060,19892,0,0,0
1783108429229339,0,1,218,-18269,21217,14321,-20492,0,0,0
1783108429229356,1,1,222,-20999,-6559,3060,19763,0,0,0
1783108429230440,0,1,219,-19223,20357,15516,-19602,0,0,0
1783108429230458,1,1,223,-21252,-5686,4053,19583,0,0,0
1783108429231541,0,1,220,-20136,19454,16657,-18643,0,0,0
1783108429231558,1,1,224,-21469,-4805,5035,19354,0,0,0
1783108429232640,0,1,221,-21007,18510,17738,-17617,0,0,0
1783108429232659,1,1,225,-21649,-3915,6005,19076,0,0,0
1783108429233743,0,1,222,-21833,17528,18756,-16529,0,0,0
1783108429233762,1,1,226,-21792,-3018,6959,18748,0,0,0
1783108429234847,0,1,223,-23347,15454,20589,-14180,0,0,0
1783108429234865,1,1,227,-21898,-2116,7896,18374,0,0,0
1783108429235947,0,1,224,-24031,14368,21397,-12928,0,0,0
1783108429235964,1,1,229,-21997,-303,9707,17485,0,0,0
1783108429237047,0,1,225,-24665,13251,22130,-11630,0,0,0
1783108429237064,1,1,230,-21991,604,10576,16973,0,0,0
1783108429238156,1,1,231,-21947,1511,11419,16418,0,0,0
1783108429239248,0,1,226,-25246,12106,22783,-10291,0,0,0
1783108429239270,1,1,232,-21866,2415,12232,15821,0,0,0
1783108429240352,0,1,227,-25775,10936,23356,-8915,0,0,0
1783108429240370,1,1,233,-21748,3315,13015,15184,0,0,0
1783108429241520,0,1,229,-26668,8529,24251,-6073,0,0,0
1783108429241538,1,1,234,-21593,4210,13764,14509,0,0,0
1783108429242731,1,1,235,-21400,5097,14478,13796,0,0,0
1783108429243815,0,1,230,-27032,7297,24569,-4617,0,0,0
1783108429243832,1,1,236,-21172,5976,15155,13048,0,0,0
1783108429244921,0,1,231,-27338,6050,24801,-3145,0,0,0
